Labor force status,Govt or private employee,Do not have a car,Need but unable to use public transport.,How likely r make effort for new job next year,Could r find equally good job,Is r likely to lose job,Expanded norc. size code,Respondents income,Race of respondent,Respondents sex,Highest year of school completed,Age of respondent,Number of children,Rs occupational prestige score (2010)
Working parttime,Private,Yes,No,Very likely,Somewhat easy,Not too likely,City gt 250000,Not applicable,White,Male,11,19,0,24
Keeping house,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Male,12,35,2,24
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,12,27,0,0
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,Under $1 000,Other,Female,13,49,1,46
Keeping house,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,24,0,0
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$75000 to $89999,White,Female,16,50,0,39
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Other,Male,16,74,0,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$60000 to 74999,White,Male,17,41,1,50
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,16,82,5,64
Temp not working,Private,No,No,Very likely,Not applicable,Not applicable,"City,50-250000",$6 000 to 6 999,White,Female,13,47,1,60
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"City,50-250000",$75000 to $89999,Other,Male,20,44,1,72
Keeping house,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$1 000 to 2 999,White,Female,13,36,2,35
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,28,2,35
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",Not applicable,White,Female,14,33,5,41
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$1 000 to 2 999,White,Male,12,40,0,38
Working fulltime,Private,No,No,Somewhat likely,Not easy,Not too likely,"Suburb, lrg city",$110000 or over,White,Male,14,41,1,51
Working parttime,Private,No,No,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",$4 000 to 4 999,White,Female,13,35,2,31
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,14,41,5,46
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Male,16,58,2,39
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,9,81,1,0
Working fulltime,Private,No,No,Somewhat likely,Not easy,Fairly likely,"Suburb, lrg city",$20000 to 22499,White,Female,16,55,3,51
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,16,37,3,31
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,14,67,3,30
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$3 000 to 3 999,Other,Female,14,46,2,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Male,12,35,0,38
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,8,76,2,0
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,12,81,1,38
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,Other,Female,16,57,2,60
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Female,12,32,4,60
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,Other,Female,12,42,3,47
Working fulltime,Government,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,Other,Male,15,46,0,32
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, lrg city",$110000 or over,White,Female,15,48,1,60
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not likely,"Suburb, lrg city",Not applicable,Other,Female,16,30,0,80
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$75000 to $89999,White,Male,18,51,3,72
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,16,89 or older,5,62
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$90000 - $109999,White,Female,16,38,2,50
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,"City,50-250000",$40000 to 49999,White,Male,16,27,1,53
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"City,50-250000",$30000 to 34999,Other,Male,10,47,0,26
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"City,50-250000",$110000 or over,White,Female,17,53,2,59
Working parttime,Private,No,No,Very likely,Somewhat easy,Not likely,"City,50-250000",$30000 to 34999,White,Female,12,49,2,38
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Female,13,66,3,51
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,18,68,3,54
Temp not working,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,12,55,2,45
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Suburb, med city",$60000 to 74999,White,Female,19,32,1,59
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, med city",$75000 to $89999,White,Male,13,53,2,24
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$20000 to 22499,White,Male,16,44,1,46
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,12,67,4,38
Working fulltime,Private,No,No,Very likely,Very easy,Very likely,"Uninc,med city",Refused,White,Male,13,44,0,44
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Uninc,med city",$40000 to 49999,White,Male,2,46,1,45
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Female,16,38,1,42
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,16,69,1,32
Working parttime,Government,No,No,Not at all likely,Very easy,Very likely,"Uninc,med city",$75000 to $89999,White,Female,20,61,1,50
Working fulltime,Private,Yes,No,Somewhat likely,Very easy,Not likely,City gt 250000,$35000 to 39999,Other,Male,9,29,0,55
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,City gt 250000,$50000 to 59999,White,Female,16,40,2,60
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$40000 to 49999,Other,Male,16,32,0,63
School,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,$22500 to 24999,White,Female,18,37,0,64
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Other,Female,10,29,2,38
Working fulltime,Private,No,No,Very likely,Very easy,Not too likely,"Suburb, lrg city",Refused,White,Female,15,43,0,40
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$25000 to 29999,Black,Male,12,23,0,35
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,20,50,0,35
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$10000 to 12499,White,Male,20,29,1,49
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",$90000 - $109999,Black,Male,12,48,2,40
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,18,86,4,66
Working parttime,Private,No,No,Very likely,Don't know,Don't know,"Suburb, lrg city",$6 000 to 6 999,White,Male,11,38,0,25
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,13,48,0,48
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Female,14,62,2,65
Working fulltime,Government,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$50000 to 59999,White,Female,14,55,1,47
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,12,39,2,49
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Male,12,22,0,45
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$15000 to 17499,White,Female,14,43,3,59
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$22500 to 24999,White,Male,16,56,0,66
Working fulltime,Private,Not applicable,Not applicable,Very likely,Very easy,Not likely,"Uninc,med city",$50000 to 59999,White,Female,16,38,0,64
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$50000 to 59999,White,Female,14,32,2,38
"Unempl, laid off",Private,No,Yes,Not applicable,Not applicable,Not applicable,"Uninc,med city",$40000 to 49999,White,Male,16,49,0,39
Working fulltime,Don't know,No,No,Not at all likely,Not easy,Not likely,"Uninc,med city",Refused,White,Male,12,49,0,53
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Uninc,med city",$75000 to $89999,White,Male,16,72,4,60
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$35000 to 39999,White,Male,15,53,0,39
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Not likely,City gt 250000,$75000 to $89999,White,Female,20,59,3,55
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Male,16,84,2,60
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,$50000 to 59999,White,Female,14,60,0,47
Working parttime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,15,21,0,31
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,16,23,0,0
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,White,Female,18,24,0,0
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,City gt 250000,$25000 to 29999,Black,Female,13,55,0,48
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not too likely,City gt 250000,$20000 to 22499,Black,Female,12,41,2,52
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,City gt 250000,$25000 to 29999,Other,Male,5,29,0,39
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,12,35,5,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,White,Female,14,35,2,69
Working fulltime,Government,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$40000 to 49999,Black,Male,12,34,1,45
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,16,36,2,0
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",Refused,Black,Female,16,57,0,48
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Uninc,lrg city",Not applicable,Black,Female,12,21,1,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not likely,"Uninc,lrg city",$50000 to 59999,Black,Male,16,42,1,63
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$60000 to 74999,Black,Male,12,53,1,31
Working fulltime,Government,No,No,Somewhat likely,Not easy,Not too likely,"Uninc,lrg city",$50000 to 59999,Black,Male,18,44,0,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Female,12,28,0,50
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,13,43,0,53
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$30000 to 34999,White,Female,12,68,3,45
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,12,66,0,47
Temp not working,Government,Not applicable,Not applicable,No answer,No answer,No answer,"Suburb, lrg city",$40000 to 49999,White,Female,17,28,1,53
Retired,Government,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Male,16,82,0,60
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not too likely,"Uninc,med city",$90000 - $109999,White,Male,16,57,2,39
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Very easy,Not likely,"Uninc,med city",$110000 or over,White,Male,18,38,1,39
Working parttime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$17500 to 19999,White,Female,16,45,3,48
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,White,Male,12,88,1,44
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Uninc,med city",Not applicable,White,Male,18,52,2,38
Working fulltime,Private,No,No,Not at all likely,Very easy,Not likely,"Uninc,med city",$40000 to 49999,White,Male,15,47,4,41
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,12,34,3,40
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not too likely,"Uninc,lrg city",$110000 or over,White,Male,20,50,3,72
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$60000 to 74999,White,Male,13,44,2,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,16,81,4,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$60000 to 74999,White,Male,17,66,4,64
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,18,44,2,55
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,14,67,4,35
Temp not working,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$3 000 to 3 999,White,Female,14,46,1,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,11,56,3,42
Working parttime,Don't know,Not applicable,Not applicable,Somewhat likely,Somewhat easy,Not too likely,"Suburb, lrg city",$10000 to 12499,White,Male,12,25,0,43
"Unempl, laid off",Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Female,14,41,1,48
School,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,11,18,0,0
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Uninc,lrg city",$60000 to 74999,White,Male,12,59,3,25
Other,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Male,16,33,0,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Uninc,lrg city",$40000 to 49999,Black,Male,14,25,0,43
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,lrg city",$50000 to 59999,White,Female,13,59,2,45
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,med city",Not applicable,Black,Female,10,22,1,0
Working fulltime,Private,No,No,Somewhat likely,Somewhat easy,Not likely,"Uninc,med city",$15000 to 17499,White,Female,16,30,1,57
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"Uninc,med city",$10000 to 12499,Black,Female,14,38,3,35
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Uninc,med city",$15000 to 17499,White,Female,12,45,2,18
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Female,12,89 or older,1,28
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, med city",Not applicable,White,Male,16,66,4,47
Working fulltime,Private,Yes,No,Very likely,Very easy,Not likely,"Suburb, med city",$35000 to 39999,White,Male,16,35,0,31
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Very easy,Not likely,"Suburb, med city",$35000 to 39999,White,Male,19,28,0,69
Working fulltime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, med city",$110000 or over,White,Male,18,45,1,63
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, med city",$30000 to 34999,White,Female,16,28,0,59
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$4 000 to 4 999,White,Female,3,33,3,21
Other,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Black,Female,16,45,4,0
Working fulltime,Government,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$75000 to $89999,Black,Male,14,40,2,59
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Very likely,"Suburb, lrg city",$25000 to 29999,Black,Female,14,36,1,48
Working fulltime,Private,No,No,Very likely,Very easy,Very likely,"Suburb, lrg city",$40000 to 49999,Black,Female,16,45,1,64
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not easy,Fairly likely,"Suburb, lrg city",$22500 to 24999,White,Female,14,61,2,38
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,13,73,3,58
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$110000 or over,White,Female,20,59,2,80
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Male,17,67,2,31
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Other,Female,14,30,2,31
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$50000 to 59999,White,Male,14,56,0,45
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,13,80,4,47
Other,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Black,Female,13,45,4,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,"Suburb, lrg city",$1 000 to 2 999,White,Female,12,19,0,39
Temp not working,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",Not applicable,White,Female,8,43,1,28
Working fulltime,Private,No,No,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,White,Female,14,36,3,24
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$110000 or over,White,Male,14,61,0,34
Working fulltime,Private,No,No,Not at all likely,Somewhat easy,Not likely,"Suburb, lrg city",$40000 to 49999,White,Male,14,44,0,59
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,80,2,0
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$35000 to 39999,White,Male,17,33,0,45
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$1 000 to 2 999,White,Female,15,19,0,28
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$22500 to 24999,White,Male,12,40,1,32
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"Suburb, lrg city",$12500 to 14999,White,Female,15,34,1,25
Retired,Government,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,13,56,1,24
Working fulltime,Government,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,45,Eight or more,48
School,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,13,33,2,38
Working fulltime,Private,No,No,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,12,26,3,35
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Male,7,69,2,43
"Unempl, laid off",Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Refused,Black,Male,11,48,0,51
Working fulltime,Government,No,No,Very likely,Not easy,Not too likely,"City,50-250000",$20000 to 22499,Black,Female,14,39,6,35
Working fulltime,Private,No answer,No answer,Not at all likely,Somewhat easy,Very likely,"City,50-250000",$5 000 to 5 999,Black,Female,16,32,3,46
Keeping house,Private,Yes,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,44,1,48
"Unempl, laid off",Government,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",$3 000 to 3 999,Black,Male,12,21,0,24
School,Private,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Don't know,Black,Female,13,22,1,55
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,10,63,6,31
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,12,20,1,0
Working fulltime,Private,Not applicable,Not applicable,Very likely,Very easy,Not too likely,"City,50-250000",Not applicable,Black,Female,12,21,1,28
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"City,50-250000",Not applicable,Black,Female,11,30,4,28
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,"Suburb, lrg city",$60000 to 74999,White,Female,14,45,0,64
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Somewhat easy,Not too likely,"Suburb, lrg city",Refused,White,Male,12,43,0,28
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",$1 000 to 2 999,White,Female,14,43,1,47
Working fulltime,Private,No,No,Very likely,Somewhat easy,Not likely,"Suburb, lrg city",$25000 to 29999,White,Male,14,23,0,35
Keeping house,Private,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",$15000 to 17499,White,Female,15,57,4,49
Retired,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,White,Female,12,75,3,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$17500 to 19999,Other,Female,14,22,0,31
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",Don't know,Other,Female,16,33,1,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$60000 to 74999,White,Male,14,27,2,31
Other,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,No answer,Black,Male,11,19,0,0
Other,Not applicable,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,8,20,0,0
Keeping house,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,14,44,2,39
Working parttime,Private,Not applicable,Not applicable,Very likely,Not applicable,Not applicable,City gt 250000,$10000 to 12499,Black,Female,14,33,3,48
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$15000 to 17499,Black,Female,12,40,2,38
Working fulltime,Private,No,No,Not at all likely,Not easy,Not too likely,City gt 250000,$20000 to 22499,Black,Female,14,20,0,47
Working fulltime,Private,No,No,Very likely,Not applicable,Not applicable,City gt 250000,$5 000 to 5 999,Black,Female,13,19,0,31
Retired,Private,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,8,76,5,32
School,Private,Yes,No,Not applicable,Not applicable,Not applicable,City gt 250000,Don't know,Black,Male,12,22,0,25
School,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Refused,Black,Male,16,40,1,30
Working fulltime,Private,Not applicable,Not applicable,Very likely,Somewhat easy,Not likely,City gt 250000,$50000 to 59999,Black,Female,16,33,1,53
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,City gt 250000,$35000 to 39999,Black,Female,15,24,0,47
Retired,Private,No,No,Not applicable,Not applicable,Not applicable,City gt 250000,Not applicable,Black,Female,14,64,2,37
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",$40000 to 49999,White,Female,18,47,4,38
Working parttime,Private,No,No,Somewhat likely,Very easy,Not likely,"Suburb, lrg city",$30000 to 34999,White,Female,15,42,2,17
Working fulltime,Private,Yes,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",$15000 to 17499,White,Male,11,19,0,21
Working parttime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Don't know,White,Male,0,56,0,31
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,18,44,4,0
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"Uninc,lrg city",$12500 to 14999,White,Female,14,40,3,27
Keeping house,Not applicable,No,No,Not applicable,Not applicable,Not applicable,"Uninc,lrg city",Not applicable,White,Female,14,62,2,0
Working fulltime,Private,No,No,Not at all likely,Not easy,Not likely,"Suburb, lrg city",Not applicable,White,Male,16,49,1,38
Working parttime,Private,Yes,No,Somewhat likely,Not applicable,Not applicable,"Suburb, lrg city",Don't know,Other,Male,16,34,2,53
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not easy,Not likely,"Suburb, lrg city",$60000 to 74999,White,Male,18,47,0,61
Working fulltime,Private,Not applicable,Not applicable,Not at all likely,Not applicable,Not applicable,"Suburb, lrg city",Not applicable,Other,Male,18,No answer,1,70
Temp not working,Private,No,No,No answer,Not applicable,Not applicable,"City,50-250000",$25000 to 29999,Other,Male,11,23,1,35
Working fulltime,Private,Not applicable,Not applicable,Somewhat likely,Not applicable,Not applicable,"City,50-250000",$15000 to 17499,White,Male,9,22,1,48
Working parttime,Government,No,No,Somewhat likely,Not applicable,Not applicable,"City,50-250000",Not applicable,White,Male,12,27,0,20
